Node,ID
http://www.ebi.ac.uk/efo/EFO_0000595,EFO_0000595
http://www.ebi.ac.uk/efo/EFO_0000612,EFO_0000612
http://www.ebi.ac.uk/efo/EFO_0000613,EFO_0000613
http://www.ebi.ac.uk/efo/EFO_0000616,EFO_0000616
http://www.ebi.ac.uk/efo/EFO_0000618,EFO_0000618
http://www.ebi.ac.uk/efo/EFO_0000621,EFO_0000621
http://www.ebi.ac.uk/efo/EFO_0000622,EFO_0000622
http://www.ebi.ac.uk/efo/EFO_0000625,EFO_0000625
http://www.ebi.ac.uk/efo/EFO_0000630,EFO_0000630
http://www.ebi.ac.uk/efo/EFO_0000632,EFO_0000632
http://www.ebi.ac.uk/efo/EFO_0000637,EFO_0000637
http://www.ebi.ac.uk/efo/EFO_0000639,EFO_0000639
http://www.ebi.ac.uk/efo/EFO_0000640,EFO_0000640
http://www.ebi.ac.uk/efo/EFO_0000641,EFO_0000641
http://www.ebi.ac.uk/efo/EFO_0000649,EFO_0000649
http://www.ebi.ac.uk/efo/EFO_0000650,EFO_0000650
http://www.ebi.ac.uk/efo/EFO_0000653,EFO_0000653
http://www.ebi.ac.uk/efo/EFO_0000658,EFO_0000658
http://www.ebi.ac.uk/efo/EFO_0000660,EFO_0000660
http://www.ebi.ac.uk/efo/EFO_0000662,EFO_0000662
http://www.ebi.ac.uk/efo/EFO_0000666,EFO_0000666
http://www.ebi.ac.uk/efo/EFO_0000668,EFO_0000668
http://www.ebi.ac.uk/efo/EFO_0000673,EFO_0000673
http://www.ebi.ac.uk/efo/EFO_0000676,EFO_0000676
http://www.ebi.ac.uk/efo/EFO_0000677,EFO_0000677
http://www.ebi.ac.uk/efo/EFO_0000678,EFO_0000678
http://www.ebi.ac.uk/efo/EFO_0000681,EFO_0000681
http://www.ebi.ac.uk/efo/EFO_0000684,EFO_0000684
http://www.ebi.ac.uk/efo/EFO_0000685,EFO_0000685
http://www.ebi.ac.uk/efo/EFO_0000691,EFO_0000691
http://www.ebi.ac.uk/efo/EFO_0000693,EFO_0000693
http://www.ebi.ac.uk/efo/EFO_0000694,EFO_0000694
http://www.ebi.ac.uk/efo/EFO_0000698,EFO_0000698
http://www.ebi.ac.uk/efo/EFO_0000699,EFO_0000699
http://www.ebi.ac.uk/efo/EFO_0000701,EFO_0000701
http://www.ebi.ac.uk/efo/EFO_0000702,EFO_0000702
http://www.ebi.ac.uk/efo/EFO_0000705,EFO_0000705
http://www.ebi.ac.uk/efo/EFO_0000706,EFO_0000706
http://www.ebi.ac.uk/efo/EFO_0000707,EFO_0000707
http://www.ebi.ac.uk/efo/EFO_0000708,EFO_0000708
http://www.ebi.ac.uk/efo/EFO_0000712,EFO_0000712
http://www.ebi.ac.uk/efo/EFO_0000713,EFO_0000713
http://www.ebi.ac.uk/efo/EFO_0000717,EFO_0000717
http://www.ebi.ac.uk/efo/EFO_0000729,EFO_0000729
http://www.ebi.ac.uk/efo/EFO_0000730,EFO_0000730
http://www.ebi.ac.uk/efo/EFO_0000731,EFO_0000731
http://www.ebi.ac.uk/efo/EFO_0000734,EFO_0000734
http://www.ebi.ac.uk/efo/EFO_0000736,EFO_0000736
http://www.ebi.ac.uk/efo/EFO_0000737,EFO_0000737
http://www.ebi.ac.uk/efo/EFO_0000756,EFO_0000756
http://www.ebi.ac.uk/efo/EFO_0000759,EFO_0000759
http://www.ebi.ac.uk/efo/EFO_0000760,EFO_0000760
http://www.ebi.ac.uk/efo/EFO_0000762,EFO_0000762
http://www.ebi.ac.uk/efo/EFO_0000763,EFO_0000763
http://www.ebi.ac.uk/efo/EFO_0000764,EFO_0000764
http://www.ebi.ac.uk/efo/EFO_0000765,EFO_0000765
http://www.ebi.ac.uk/efo/EFO_0000767,EFO_0000767
http://www.ebi.ac.uk/efo/EFO_0000768,EFO_0000768
http://www.ebi.ac.uk/efo/EFO_0000769,EFO_0000769
http://www.ebi.ac.uk/efo/EFO_0000770,EFO_0000770
http://www.ebi.ac.uk/efo/EFO_0000771,EFO_0000771
http://www.ebi.ac.uk/efo/EFO_0000772,EFO_0000772
http://www.ebi.ac.uk/efo/EFO_0000773,EFO_0000773
http://www.ebi.ac.uk/efo/EFO_0000775,EFO_0000775
http://www.ebi.ac.uk/efo/EFO_0000776,EFO_0000776
http://www.ebi.ac.uk/efo/EFO_0000777,EFO_0000777
http://www.ebi.ac.uk/efo/EFO_0000778,EFO_0000778
http://www.ebi.ac.uk/efo/EFO_0000779,EFO_0000779
http://www.ebi.ac.uk/efo/EFO_0000780,EFO_0000780
http://www.ebi.ac.uk/efo/EFO_0000781,EFO_0000781
http://www.ebi.ac.uk/efo/EFO_0000782,EFO_0000782
http://www.ebi.ac.uk/efo/EFO_0000783,EFO_0000783
http://www.ebi.ac.uk/efo/EFO_0001054,EFO_0001054
http://www.ebi.ac.uk/efo/EFO_0001055,EFO_0001055
http://www.ebi.ac.uk/efo/EFO_0001056,EFO_0001056
http://www.ebi.ac.uk/efo/EFO_0001057,EFO_0001057
http://www.ebi.ac.uk/efo/EFO_0001058,EFO_0001058
http://www.ebi.ac.uk/efo/EFO_0001060,EFO_0001060
http://www.ebi.ac.uk/efo/EFO_0001061,EFO_0001061
http://www.ebi.ac.uk/efo/EFO_0001062,EFO_0001062
http://www.ebi.ac.uk/efo/EFO_0001063,EFO_0001063
http://www.ebi.ac.uk/efo/EFO_0001064,EFO_0001064
http://www.ebi.ac.uk/efo/EFO_0001065,EFO_0001065
http://www.ebi.ac.uk/efo/EFO_0001066,EFO_0001066
http://www.ebi.ac.uk/efo/EFO_0001067,EFO_0001067
http://www.ebi.ac.uk/efo/EFO_0001068,EFO_0001068
http://www.ebi.ac.uk/efo/EFO_0001069,EFO_0001069
http://www.ebi.ac.uk/efo/EFO_0001071,EFO_0001071
http://www.ebi.ac.uk/efo/EFO_0001073,EFO_0001073
http://www.ebi.ac.uk/efo/EFO_0001074,EFO_0001074
http://www.ebi.ac.uk/efo/EFO_0001075,EFO_0001075
http://www.ebi.ac.uk/efo/EFO_0001076,EFO_0001076
http://www.ebi.ac.uk/efo/EFO_0001077,EFO_0001077
http://www.ebi.ac.uk/efo/EFO_0001078,EFO_0001078
http://www.ebi.ac.uk/efo/EFO_0001356,EFO_0001356
http://www.ebi.ac.uk/efo/EFO_0001357,EFO_0001357
http://www.ebi.ac.uk/efo/EFO_0001358,EFO_0001358
http://www.ebi.ac.uk/efo/EFO_0001361,EFO_0001361
http://www.ebi.ac.uk/efo/EFO_0001365,EFO_0001365
http://www.ebi.ac.uk/efo/EFO_0001376,EFO_0001376
